id,h,place,e,n
1422,潍坊,寿光,118.73,36.88
1423,潍坊,安丘,119.2,36.43
1424,潍坊,高密,119.75,36.38
1425,潍坊,昌邑,119.4,36.87
1426,济宁,济宁,116.58,35.42
1438,济宁,曲阜,116.98,35.58
1439,济宁,兖州,116.83,35.55
1440,济宁,邹城,116.97,35.4
1441,泰安,泰安,117.08,36.2
1446,泰安,新泰,117.77,35.92
1447,泰安,肥城,116.77,36.18
1448,威海,威海,122.12,37.52
1450,威海,文登,122.05,37.2
1451,威海,荣成,122.42,37.17
1452,威海,乳山,121.53,36.92
1453,日照,日照,119.52,35.42
1458,莱芜,莱芜,117.67,36.22
1461,临沂,临沂,118.35,35.05
1474,德州,德州,116.3,37.45
1484,德州,乐陵,117.23,37.73
1485,德州,禹城,116.63,36.93
1486,聊城,聊城,115.98,36.45
1494,聊城,临清,115.7,36.85
1495,滨州,滨州,117.97,37.38
1512,郑州,郑州,113.62,34.75
1520,郑州,巩义,112.98,34.77
1521,郑州,荥阳,113.4,34.78
1522,郑州,新密,113.38,34.53
1523,郑州,新郑,113.73,34.4
1524,郑州,登封,113.03,34.47
1525,开封,开封,114.3,34.8
1534,洛阳,洛阳,112.45,34.62
1548,洛阳,偃师,112.78,34.73
1549,平顶山,平顶山,113.18,33.77
1558,平顶山,舞钢,113.52,33.3
1559,平顶山,汝州,112.83,34.17
1560,安阳,安阳,114.38,36.1
1569,安阳,林州,113.82,36.07
1570,鹤壁,鹤壁,114.28,35.75
1576,新乡,新乡,113.9,35.3
1587,新乡,卫辉,114.07,35.4
1589,焦作,焦作,113.25,35.22
1598,焦作,济源,112.58,35.07
1599,焦作,沁阳,112.93,35.08
1600,焦作,孟州,112.78,34.9
1601,濮阳,濮阳,115.03,35.77
1608,许昌,许昌,113.85,34.03
1613,许昌,禹州,113.47,34.17
1614,许昌,长葛,113.77,34.22
1615,漯河,漯河,114.02,33.58
1620,三门峡,三门峡,111.2,34.78
1625,三门峡,义马,111.87,34.75
1626,三门峡,灵宝,110.87,34.52
1627,南阳,南阳,112.52,33.0
1640,南阳,邓州,112.08,32.68
1641,商丘,商丘,115.65,34.45
1650,商丘,永城,116.43,33.92
1651,信阳,信阳,114.07,32.13
1662,周口,周口,114.65,33.62
1671,周口,项城,114.9,33.45
1672,驻马店,驻马店,114.02,32.98
1683,武汉,武汉,114.3,30.6
1697,黄石,黄石,115.03,30.2
